Date,Open,High,Low,Close,Adj Close,Volume
2018-02-16,8.518824,8.700192,8.507832,8.595768,6.657423,15711019
2018-02-20,8.568288,8.804617,8.551800,8.722176,6.755327,20384950
2018-02-21,8.865073,9.018961,8.788129,8.799121,6.814923,16090748
2018-02-22,8.958505,8.991481,8.843089,8.898049,6.891542,16285981
2018-02-23,8.964001,8.991481,8.793625,8.985985,6.959646,15085475
2018-02-26,9.051937,9.051937,8.920033,9.013465,6.980932,14708656
2018-02-27,8.974993,8.996977,8.799121,8.815609,6.827689,17427353
2018-02-28,8.799121,8.815609,8.551800,8.557296,6.627626,23797604
2018-03-01,8.601264,8.744160,8.502336,8.623248,6.680855,20361479
2018-03-02,8.546304,8.667216,8.458368,8.639736,6.693627,22926792
2018-03-05,8.590272,8.843089,8.562792,8.837593,6.846916,13701199
2018-03-06,8.947513,8.991481,8.870569,8.892553,6.889494,13551818
2018-03-07,8.804617,8.837593,8.639736,8.749656,6.778786,10850588
2018-03-08,8.766145,8.777137,8.595768,8.672712,6.719177,13028348
2018-03-09,8.782633,8.854081,8.733168,8.810113,6.825627,9299646
2018-03-12,8.821105,8.925529,8.793625,8.909041,6.902271,11487231
2018-03-13,8.920033,8.936521,8.777137,8.815609,6.829884,13389882
2018-03-14,8.848585,8.854081,8.601264,8.678208,6.723431,15929723
2018-03-15,8.601264,8.650728,8.458368,8.612256,6.672336,15343480
2018-03-16,8.584776,8.711184,8.529816,8.551800,6.625498,22646771
2018-03-19,8.518824,8.562792,8.353943,8.364935,6.480726,25728822
2018-03-20,8.375927,8.386919,8.233031,8.348447,6.467950,18655152
2018-03-21,8.370431,8.436384,8.320967,8.408904,6.514789,18214287
2018-03-22,8.293487,8.397912,8.227535,8.266007,6.404080,13311826
2018-03-23,8.298983,8.485848,8.271503,8.320967,6.446661,18306535
2018-03-26,8.469360,8.507832,8.342951,8.452872,6.548859,9032544
2018-03-27,8.441880,8.474856,8.227535,8.271503,6.408340,11940469
2018-03-28,8.260511,8.375927,8.211047,8.364935,6.480726,15113859
2018-03-29,8.463864,8.650728,8.452872,8.573784,6.642530,16638236
2018-04-02,8.568288,8.623248,8.397912,8.491344,6.580768,18485210
2018-04-03,8.524320,8.584776,8.309975,8.348447,6.470024,17532156
2018-04-04,8.161583,8.419896,8.106623,8.403408,6.512619,19505404
2018-04-05,8.601264,8.661720,8.386919,8.403408,6.512619,20944083
2018-04-06,8.370431,8.430888,8.216543,8.342951,6.465765,11857136
2018-04-09,8.304479,8.331959,8.051663,8.062655,6.248535,16619131
2018-04-10,8.084639,8.200055,8.018686,8.172575,6.333727,13675726
2018-04-11,8.161583,8.342951,8.145095,8.293487,6.427429,11084940
2018-04-12,8.375927,8.386919,8.304479,8.342951,6.465765,8836766
2018-04-13,8.287991,8.309975,8.090135,8.106623,6.282613,10834213
2018-04-16,8.161583,8.167079,7.958230,8.018686,6.214462,19803984
2018-04-17,8.084639,8.211047,8.018686,8.178071,6.337986,14916261
2018-04-18,8.353943,8.463864,8.287991,8.414400,6.521138,12633698
2018-04-19,8.260511,8.348447,8.200055,8.304479,6.435952,14047996
2018-04-20,8.222039,8.255015,8.134103,8.200055,6.355022,12932824
2018-04-23,8.101127,8.150591,8.007694,8.095631,6.274094,9470134
2018-04-24,8.145095,8.216543,8.002198,8.040671,6.231499,10759067
2018-04-25,7.908766,7.991206,7.864798,7.969222,6.176126,11363505
2018-04-26,8.035174,8.172575,7.974718,8.156087,6.320945,11578934
2018-04-27,8.249519,8.255015,8.145095,8.183567,6.342244,10004703
2018-04-30,8.172575,8.189063,7.969222,7.985710,6.188905,9467222
2018-05-01,7.980214,8.007694,7.798846,7.969222,6.176126,7731419
2018-05-02,7.787854,7.804342,7.513053,7.562517,5.862549,25162593
2018-05-03,7.562517,7.579005,7.375653,7.452597,5.777337,21095647
2018-05-04,7.381149,7.480077,7.364661,7.386645,5.726209,19753220
2018-05-07,7.331685,7.430613,7.282220,7.320692,5.675083,15562184
2018-05-08,7.331685,7.386645,7.216268,7.304204,5.662302,14372049
2018-05-09,7.265732,7.298708,7.188788,7.282220,5.645259,16901336
2018-05-10,7.408629,7.595493,7.386645,7.557021,5.858287,16611307
2018-05-11,7.546029,7.579005,7.326189,7.375653,5.717690,13589118
2018-05-14,7.364661,7.447101,7.111844,7.205276,5.585611,18551076
2018-05-15,6.979940,7.150316,6.924979,7.128332,5.525964,25037958
2018-05-16,7.139324,7.221764,7.133828,7.177796,5.564307,10556921
2018-05-17,7.078868,7.095356,6.738115,6.782083,5.257547,31976257
2018-05-18,6.562242,6.644683,6.463314,6.639187,5.146771,59861186
2018-05-21,6.787579,6.787579,6.567738,6.633691,5.142512,23588908
2018-05-22,6.749107,6.996428,6.743611,6.864523,5.321455,29225355
2018-05-23,6.820555,6.886507,6.749107,6.793075,5.266069,19869122
2018-05-24,6.743611,6.848035,6.672163,6.837043,5.300152,19857295
2018-05-25,6.842539,6.870019,6.699643,6.727123,5.214942,21659692
2018-05-29,6.419346,6.496290,6.287442,6.314922,4.895398,51673254
2018-05-30,6.397362,6.408354,6.232481,6.325914,4.903920,24200624
2018-05-31,6.375378,6.391866,6.309426,6.347898,4.920961,12852220
2018-06-01,6.452322,6.523770,6.265458,6.408354,4.969549,27471175
2018-06-04,6.562242,6.611707,6.523770,6.578730,5.101674,24370201
2018-06-05,6.518274,6.545754,6.243473,6.287442,4.875783,22131306
2018-06-06,6.183017,6.232481,6.040121,6.078593,4.713826,24344910
2018-06-07,5.902721,5.919209,5.507007,5.787304,4.487935,56619201
2018-06-08,6.029129,6.155537,5.765320,6.073097,4.709562,50167800
2018-06-11,6.150041,6.166529,5.908217,5.935697,4.603012,20446631
